X,Y,R,G,B,ExG,ExR,ExGR,CIVE,VEG,NGRDI,NDI,CLASE
26,89,62,76,76,14,10.8,3.2,28.95345,1.145453356,0.101449275,140.9855072,4
24,88,66,80,81,13,12.4,0.6,30.39845,1.132214391,0.095890411,140.2739726,4
26,87,67,81,81,14,12.8,1.2,30.02845,1.13492618,0.094594595,140.1081081,4
27,87,67,82,79,18,11.8,6.2,28.04745,1.158542947,0.100671141,140.885906,4
80,61,70,71,73,-1,27,-28,34.78145,1.000210579,0.007092199,128.9078014,4
25,87,72,86,87,13,14.8,-1.8,31.68845,1.121496093,0.088607595,139.3417722,4
24,87,73,87,90,11,15.2,-4.2,33.07345,1.11152734,0.0875,139.2,4
26,88,75,89,89,14,16,-2,31.74845,1.120926849,0.085365854,138.9268293,4
25,88,75,89,90,13,16,-3,32.33345,1.116763956,0.085365854,138.9268293,4
16,77,75,94,90,23,11,12,28.27845,1.179503504,0.112426036,142.3905325,4
17,79,77,96,90,25,11.8,13.2,27.53845,1.18363872,0.10982659,142.0578035,4
15,78,77,96,92,23,11.8,11.2,28.70845,1.175007322,0.10982659,142.0578035,4
16,79,78,97,93,23,12.2,10.8,28.92345,1.172842817,0.108571429,141.8971429,4
29,89,80,92,88,16,20,-4,30.93545,1.114074096,0.069767442,136.9302326,4
28,88,80,92,90,14,20,-6,32.10545,1.105768083,0.069767442,136.9302326,4
27,89,80,95,92,18,17,1,30.84245,1.133499251,0.085714286,138.9714286,4
15,76,82,101,97,23,13.8,9.2,29.78345,1.1646959,0.103825137,141.2896175,4
14,76,83,99,96,19,17.2,1.8,31.26145,1.13635437,0.087912088,139.2527473,4
13,74,87,104,98,23,17.8,5.2,30.14045,1.148935675,0.089005236,139.3926702,4
56,81,88,69,63,-13,54.2,-67.2,38.49145,0.876392688,-0.121019108,112.5095541,4
15,77,88,107,103,23,16.2,6.8,31.07345,1.153822595,0.097435897,140.4717949,4
16,78,89,108,104,23,16.6,6.4,31.28845,1.15214866,0.096446701,140.3451777,4
56,80,92,74,70,-14,54.8,-68.8,40.29545,0.880983129,-0.108433735,114.1204819,4
